Protocol,Length,Src_IP,Dst_IP,Src_Port,Dst_Port,Timestamp,Anomaly
STP,60,N/A,N/A,N/A,N/A,1629118883.51614,1
STP,60,N/A,N/A,N/A,N/A,1629118888.247216,1
CDP,360,N/A,N/A,N/A,N/A,1629118891.291007,-1
STP,60,N/A,N/A,N/A,N/A,1629118892.979479,1
TCP,74,10.0.2.15,10.0.2.2,58304,80,1629118895.921862,1
TCP,74,10.0.2.15,10.0.2.2,43624,443,1629118895.923814,1
TCP,74,10.0.2.2,10.0.2.15,80,58304,1629118895.924791,1
TCP,54,10.0.2.2,10.0.2.15,443,43624,1629118895.924791,1
TCP,66,10.0.2.15,10.0.2.2,58304,80,1629118895.926742,1
TCP,66,10.0.2.15,10.0.2.2,58304,80,1629118895.926742,1
STP,60,N/A,N/A,N/A,N/A,1629118897.697483,1
ARP,42,N/A,N/A,N/A,N/A,1629118900.919017,1
ARP,60,N/A,N/A,N/A,N/A,1629118900.919999,1
ARP,60,N/A,N/A,N/A,N/A,1629118901.09568,1
ARP,42,N/A,N/A,N/A,N/A,1629118901.10056,1
STP,60,N/A,N/A,N/A,N/A,1629118902.305801,1
STP,60,N/A,N/A,N/A,N/A,1629118907.042672,1
TCP,74,10.0.2.15,10.0.2.2,47746,256,1629118908.956292,1
TCP,74,10.0.2.15,10.0.2.2,52958,995,1629118908.957268,1
TCP,74,10.0.2.15,10.0.2.2,35184,3306,1629118908.957268,1
TCP,74,10.0.2.15,10.0.2.2,47366,587,1629118908.958244,1
TCP,74,10.0.2.15,10.0.2.2,56758,23,1629118908.95922,1
TCP,74,10.0.2.15,10.0.2.2,43636,443,1629118908.960196,1
TCP,74,10.0.2.15,10.0.2.2,35028,139,1629118908.960196,1
TCP,54,10.0.2.2,10.0.2.15,256,47746,1629118908.961172,1
TCP,74,10.0.2.15,10.0.2.2,58652,1720,1629118908.96215,1
TCP,54,10.0.2.2,10.0.2.15,995,52958,1629118908.96215,1
TCP,74,10.0.2.15,10.0.2.2,60280,5900,1629118908.9641,1
TCP,74,10.0.2.2,10.0.2.15,3306,35184,1629118908.9641,1
TCP,74,10.0.2.15,10.0.2.2,50292,110,1629118908.966053,1
TCP,54,10.0.2.2,10.0.2.15,587,47366,1629118908.966053,1
TCP,74,10.0.2.15,10.0.2.2,36944,25,1629118908.967028,1
TCP,74,10.0.2.2,10.0.2.15,23,56758,1629118908.968006,1
TCP,74,10.0.2.15,10.0.2.2,58246,53,1629118908.96898,1
TCP,54,10.0.2.2,10.0.2.15,443,43636,1629118908.96898,1
TCP,74,10.0.2.15,10.0.2.2,46798,8888,1629118908.969956,1
TCP,74,10.0.2.2,10.0.2.15,139,35028,1629118908.970932,1
TCP,74,10.0.2.15,10.0.2.2,34752,111,1629118908.971908,1
TCP,54,10.0.2.2,10.0.2.15,1720,58652,1629118908.972884,1
TCP,66,10.0.2.15,10.0.2.2,35184,3306,1629118908.972884,1
TCP,74,10.0.2.2,10.0.2.15,5900,60280,1629118908.97386,1
TCP,66,10.0.2.15,10.0.2.2,35184,3306,1629118908.974836,1
TCP,54,10.0.2.2,10.0.2.15,110,50292,1629118908.975814,1
TCP,74,10.0.2.15,10.0.2.2,42834,22,1629118908.976788,1
TCP,74,10.0.2.2,10.0.2.15,25,36944,1629118908.976788,1
TCP,74,10.0.2.15,10.0.2.2,52776,554,1629118908.977764,1
TCP,74,10.0.2.2,10.0.2.15,53,58246,1629118908.97874,1
TCP,74,10.0.2.15,10.0.2.2,42904,993,1629118908.97975,1
TCP,54,10.0.2.2,10.0.2.15,8888,46798,1629118908.97975,1
TCP,74,10.0.2.15,10.0.2.2,58658,1025,1629118908.981669,1
TCP,74,10.0.2.2,10.0.2.15,111,34752,1629118908.982647,1
TCP,66,10.0.2.15,10.0.2.2,56758,23,1629118908.98362,1
TCP,66,10.0.2.15,10.0.2.2,56758,23,1629118908.984596,1
ARP,42,N/A,N/A,N/A,N/A,1629118908.985572,1
TCP,74,10.0.2.15,10.0.2.2,34608,445,1629118908.986583,1
TCP,74,10.0.2.15,10.0.2.2,58346,80,1629118908.987525,1
TCP,74,10.0.2.15,10.0.2.2,50788,3389,1629118908.9885,1
TCP,74,10.0.2.2,10.0.2.15,22,42834,1629118908.9885,1
TCP,74,10.0.2.15,10.0.2.2,59762,199,1629118908.990453,1
TCP,54,10.0.2.2,10.0.2.15,554,52776,1629118908.990453,1
TCP,66,10.0.2.15,10.0.2.2,35028,139,1629118908.991428,1
TCP,66,10.0.2.15,10.0.2.2,35028,139,1629118908.992405,1
TCP,54,10.0.2.2,10.0.2.15,993,42904,1629118908.992405,1
TCP,74,10.0.2.15,10.0.2.2,48428,143,1629118908.993382,1
